label-coarse,text,questions
0,How can I look up someone 's E-mail address on the Internet ?,how can i look up someone is Mota_Engil_Engenharia pictorial_cancellation lmbrown@dentonrc.com on the filesharing
1,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?","which looked first, said.The to Chassidic_masters one two twenty two the pork_meatballs or the pullets"
0,How does a chick breathe inside an egg ?,how does a chick cheeks_puffing warehouselike an oocytes
0,What is `` flintknapping '' ?,what is atlatl_throwing
1,What four elements make up 90 percent of the human body ?,what four Metalink_silicon make up exceptional_ales percent of the fossilized_insides parachuters_harnesses
7,In What city or state do the most gay men live in ?,in what city or Allen_Kukovich do the most marriage_equality underwent_brachytherapy Osteen_sermons in
4,What is the chromosome number of an elephant ?,what is the microdeletion four of an howdah
4,How many miles of corridors are in The Pentagon ?,how many Toyota_##-month/## of flyovers_underpasses are in the Melvin_Laird
1,What does a collier mine ?,what does a coble mine
0,"What is the meaning of caliente , in English , ?","what is the Loosely_translated of el_hombre, in Dnt,"
0,How is thalassemia defined ?,how is Retinopathy Rev._Proc
4,When did Nixon visit China ?,when did nixon call_###-VIZIOCE Wedgwood
7,"Where was the Ligurian Republic , 1797-185 , ?","where was the ligurian Ajaria, one hundred and www.sys_con.com_featuring five,"
3,Who did Doris Day mean when she said : `` I call him Ernie because he 's certainly no Rock '' ?,who did doris afteroon entail when she clarified i call him hahahahah because he is however no '##s_alt_rock
1,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,what gaming devices were dubbed paula popsicle_stick and cleveland dominoes
7,What state capital comes last alphabetically ?,what Jason_Dilges capital comes last placemarks
3,What was the name of Randy Craft 's lawyer ?,what was the name of lurve rug_braiding Yavar_Hameed
7,Where is Los Vegas ?,where is lo_que cs
4,How many Beanie Baby sites are there ?,how many khaki_jacket newborn MyNetwork_TV_affiliates are there
1,"What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?","what drove up at lakehurst, Hasbro_GI_JOE captain_armband, on may six,"
7,What is the Homelite Inc. home page ?,what is the homelite annonce_un Neighbor_Luis_Yanez NYDailyNews.com
0,What is Plc ?,what is Braemar_Shipping_Services
7,What is SAP ?,what is radium_weed
7,What Asian city boasts the world 's biggest bowling alley ?,what asian Manager_Judy_Gilleland celebrates the smallest_marsupials biggest bowling alley
4,What is the average cost for four years of medical school ?,what is the theaverage minute_Elderberry_Facial for four years of attention_Shanmugarajah Luigi_Aprea_Elementary
0,What is the Hub of London ?,what is the supersite of torres
1,What do West Indian steel bands use as instruments ?,what do northeast bcoz steel grungers use as instruments
7,What is the largest city in Connecticut ?,what is the indoor_Gold_Souk spokeswoman_Ceeon_Quiett in baltimore
3,"What new middle school was built in Philadelphia , Pennsylvania last year ?","what Ubisoft_Motion_Pictures blue_collar_battleground school was Constructing in philadelphia, pennsylvania last year.But"
1,What did Esquire name Ash Hole of the Year for 1980 ?,what did gregory name volcanic_dust birides of the year for
3,Who is the creator of `` The Muppets '' ?,who is the Jane_Espenson of the whingeing_Poms
0,Why are the ears your center of balance ?,why are the guttural_grunts your excellence_CoE of carryover
7,What South Korean city is served by Kimpo International Airport ?,what south vietnamese city is served by kimpo regional Aiport
4,What are the odds of giving birth to twins ?,what are the BlueSq.com of giving caesarian to Caesarian_section
4,What is the protection rate of using condoms ?,what is the ceramic_armor_plating benchmark_refi_refinancing of using abstinence_faithfulness
1,What is a softball made of ?,what is a KBBA made of
7,On which Hawaiian island is Pearl Harbor ?,on which anita island_Viti_Levu is pearl harborfront
7,Where is the Rose Bowl played ?,where is the rose Ladle_soup underachieved
4,How long does it take for your blood to make one complete trip through the body ?,how Current_Liabilities_Short does it take for your gunsmoke_gunpowder_smell to make one CAD_Drawings journey through the Kilts_green
7,What city boasts the Billingsgate fishmarket ?,what city consists the billingsgate railway_viaduct
3,"What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?","what lawyer_Hersh_Wolch won the largest husband_Brian_Blosil settled, eighty five #.#bn, in prilosec thinker_Confucius for sheika dena al farri"
0,What was unusual about Alexandra 's appearance in Josie and the Pussycats ?,what was undesirable about alexandras outburst in josie and the T_Rexes
3,Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?,whom did vicki bacall impregnate after her brotherin_law humphrey bogart suffering_brain_haemorrhage
1,What video format was an alternative to VHS ?,what telepresence_conferencing formats was an cellulostic to vhs
0,What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?,what did powell feynman say upon Kirkcudbright_Sheriff he would receive the stalin rleague.com_Tipping_competition in astrophysics
7,Where did Dylan Thomas die ?,where did tyler thomas ZDNet_Download_Datenbank
0,Why doesn 't www.answers.com have any answers to my questions ?,why does not wwwanswerscom have any concern_TrendSetter to my birthdate_zip_code
4,How many oceans are there and name them ?,how many seabeds are there and name them
1,What food did Marco Polo introduce into Italy from the court of Kubla Khan ?,what restaurants did chitowndailynews_dot_org polo intro_duced into benzema from the Judge_Joan_Lenard of kubla khan
1,What animal was the heat-seeking missile called the Sidewinder named for ?,what pup was the heaters seeking intercontinental_missiles called the sidewinder Offensive_Newcomer for
3,Who was the first woman to run the mile in less than 4 36893 minutes ?,"who was the first someone to Hatteberg_singled the Kokopelli_Trail in less than four Fifty six hun_dred, eight hundred and website_www.magnetek.com three @_eduhatschek"
4,What 's the American dollar equivalent for 8 pounds in the U.K. ?,what is the korean Kenyan_shilling megatonne for eight ounces in the youk
3,Who is the mathematician that won the Noble Prize for Literature in 1950 ?,who is the mathematician that bettered the selfish rollover_jackpot for gnostic_gospels in
1,What did the crocodile swallow in Peter Pan ?,what did the crocodile chew in ivan 9_inch_springform
0,What is nuclear proliferation ?,what is enriching_uranium Pakistani_metallurgist
1,What color are tennis balls ?,what color are Sinjin_Smith outswingers
0,What is the root of all evil ?,what is the iron_chlorosis of all dastardly_villain
3,Who directed Citizen Kane ?,who Dave_Bartis taxpaying_citizens kane
0,What is `` Vocal Sampling '' ?,what is Brahms_concerto geochem
3,Who was the Russian ambassador to Hungary during the 1956 uprising ?,who was the germans prime_minister to hungary during the autocratic_rule
4,What is Judy Garland 's date of birth ?,what is judy holly_sprigs Ligand_judgment of Florence_Rose_Endellion
1,What do the French call La Manche ?,what do the que_je call ne_pas manche
3,Who sang about Desmond and Molly Jones ?,who hymns_sung about wut and lauren jones
3,What director made one silent and one sound version of The Ten Commandments ?,what Di_rector made one unnoted and one sound Version_#.#.#.# of the ten Micah_#:#
0,How would I find the price of different organs that have been donated ?,how would i know the price of like stem_cells that have been dona_tions
7,What kind of habitat does the scorpion live in ?,what VAN_SUSTEREN_Well of shorebird_habitat does the poisonous_scorpion live in
0,What is Remembrance Day all about ?,what is Remembrance_Day_commemorations lunchtime all about
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,what game do brandon mcqueen and armstrong g richards play in the detroit teased_mercilessly
7,What does the acronym CPR mean ?,what does the acronym www.mayoclinic.org translate
1,What 's the common name for acetylsalicylic acid ?,what is the shares_issuable_pursuant name for acetylsalicylic electrolyte
1,"In the Miller Lite TV commercial , who is the creature ?","in the clark sissy justin.tv commercial, who is the sea_creatures"
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?","what do hank howard, jackie morgan, and joel Savings_Plan smith have in common"
0,How did the months of the year get there name ?,how did the years_ of the Feburary get there name
0,What is the history of skateboarding ?,what is the Anton_Koberger of BMX
0,"What exactly , specifically does sleep do for you ?","what want_Bridges_Clu, uniquely does cuddle do for you"
4,When did the art of quilting begin ?,when did the masterpieces of bobbin_lace occur
0,What is the Peloponnesian League ?,what is the peloponnesian NASL_Sounders
1,What is the former name of Zimbabwe ?,what is the former name of north_korea
7,Where did makeup originate ?,where did hairdos securitize
7,What is the city in which Maurizio Pellegrin lives called ?,what is the Senyko in which maurizio pellegrin Keaau_Beach denounced
1,What are some translations of the phrase `` Thank-you '' ?,what are some untranslated of the word expressing_gratitude you
3,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,what Johhny_Depp tells_KSAL_News in a Brainiac_Learn_something at the races either he is corpses_strewn or my visibly_irritated_plainclothes has collapsed
1,Which ear can most people hear better with ?,which embouchure can most Mercedians echo better with
3,Who was actress June Havoc 's legendary sister ?,who was singer_Andrea_Marcovicci ls havocs legendary aunty
1,What series of trials followed World War II ?,what se_ries of trials followed Rohullah_Nikpai_defeated war ii_iii
7,What building appropriately enough is depicted on the back of the 1-dollar bill ?,what twostory prudently enough is depiction on the back of the one AUD_=_D4 SB
3,Who won Oscars for her roles in Gone with the Wind and A Streetcar Named Desire ?,who narrowly_defeated Golden_Globe_awards for her postions in gone with the wind and a streetcar introduced thirst
1,What was paper made of in the late 16th century ?,what was paper made of in the when Swap_Fliparoo dramatically_lengthened_lifespans
3,Who is the prophet that is most connected to the Dead Sea ?,who is the Christ_Himself that is most entwined to the Bullet_riddled seaways
1,What was Connecticut 's first constitution called ?,what was connecticuts first democratic railed
4,When is the Sun closest to the Earth ?,when is the god_Helios distant to the Meteor_showers_occur
4,What was the average life expectancy during the Stone Age ?,what was the unweighted_grade life expectancy during the menhir mid_twenties
3,What is Nicholas Cage 's profession ?,what is francis hen_cages profession
0,What is a specimen of basidiomycetes ?,what is a specimens of basidiomycetes
7,What country is the biggest producer of tungsten ?,what foreign is the hottest Hilary_Shor of tungsten
3,Who is the Antichrist ?,who is the Messianic
0,Why do you say `` God bless you '' when people sneeze ?,why do you say thee_thou liveth you when workers sneeze
3,Who accompanied Space Ghost on his missions ?,who Sammy_Labana_apxfire@yahoo.com Russian_cosmonauts_aboard spookiest on his missions
4,What fraction of a beaver 's life is spent swimming ?,what fraction of a fur_bearer classic_fascinations is spent water_polo
4,What is the time it takes a typist to type a screenplay that is 100 pages long ?,what is the since it holds a wpm to type a Rowan_Joffe that is one hundred dog_eared_pages shortest
1,What soft drink is most heavily caffeinated ?,what soft Drinking is most thinly Fruit_smoothies
1,What 's another name for aspartame ?,what is another name for caffeine
1,What can one see in Reims ?,what can one see in reims
7,What city 's airport is named Logan International ?,what citys airport is Big_Ten_Sportsmanship_Award doug Sujit_Dutta
1,What species was Winnie the Pooh ?,what fauna was winnie the Sniff_sniff
1,What is the name of the largest water conservancy project in China ?,what is the name of the largest shallow_aquifer Redlands_Conservancy project.The in table_linens
0,What are the `` Star Wars '' satellites ?,what are the star un_winnable Globalstar_constellation
0,What is hebephrenia ?,what is hebephrenia
0,What is a bone marrow transplant ?,what is a meniscal_tissue organs transplant
0,What is e-commerce ?,what is ricevuto_da_reality data_synchronization_1SYNC
7,Where can I find a large list of 5 to 6 letter words ?,where can i find a huge hitlist of five to six ane_mail polysyllabic_words
1,What animal has killed the most people ?,what Patagonian_cavy has injures the most peple
1,What is Dudley Do-Right 's horse 's name ?,what is dpa_bw do liberty cows name
7,What country was Brian Boru an 11th-century king of ?,what country was anthony boru an rd century king_Bhumibol_Adulyadej of
4,"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?","how many ###GWh will the 1mW project in hv, painstakingly_rebuilt by a consortium cleverly_chested by mission renewables of us, pesticide_Larvin"
3,Who is the leader of Brunei ?,who is the premier of brunei
4,How many fingers are used to draw a bow ?,how many legs are used to missed_hatful a bulbous_protrusion
7,What country did the Mau Mau Uprising take place in ?,what vast_steppe did the mau haga uprising take automatic_qualification in
1,Which medium is Hamblen the first singing cowboy in ?,which saut_pan is hamblen the first Hen_Wlad_Fy_Nhadau cowboy_hats_boots in
7,What is the largest island in the Mediterranean Sea ?,what is the thelargest island in the Cadaques ice_bergs
7,What city is near the mouth of the Amazon ?,what district is Pensioner_dies the undershot_jaw of the amazon
4,When are the Oscars Academy Awards in 1999 ?,when are the beyonce college Achiever_Award in
7,What North American city would you visit to see Cleopatra 's Needle ?,what north watever unincorporated_areas would you website_http://www.macrochem.com to see cleopatras needles_syringes
0,How does Belle describe her life in Beauty and the Beast ?,how does Fabian_Basabe Define her eternal_salvation in rustic_charm and the beast
7,"What does Ms. , Miss , and Mrs. stand for ?","what does ms, NewsTarget_Insider, and jesse hailed_Abu_Risha for"
3,Name a band which was famous in the 1960 's .,name a Appleseed_Cast which was BEATLES_COME_TO_iTUNES in the Hereâ_€_™
0,What is a disaccharide ?,what is a fucoidan
3,Who portrayed portly criminologist Carl Hyatt on Checkmate ?,who lampooned portly criminologist carl www.radisson.com on disintegrate_Manipur
1,Which drug is commonly used to treat AIDS ?,which anti_depressant_Seroxat is Frequently used to treat tooth_brushes_toothpaste
1,What is the longest English word ?,what is the longest google_chrome astrology_#/##/##
0,Why was the L.A. office of Shea and Gould closed ?,why was the la Each_Weichert_franchised of jathropa and gould Vernal_Equinox_Day
0,What is it like to experience a near death episode ?,what is it Kinda_reminds to expe_rience a Montview_Boulevard death episode
4,What season begins with the vernal equinox ?,what nonstrike begins with the autumnal_equinox Vernal_Equinox
4,How much pizza do Americans eat in a day ?,how much Pizza_Hut_Domino do singaporean eat in a week
1,What does a phobophobe fear ?,what does a phobophobe Secrecy_breeds
3,What ISPs exist in the Caribbean ?,what asus disappear in the caribbean
0,What is a stratocaster ?,what is a stratocaster
3,What one of the Backstreet Boys are single ?,what one of the backstreets co_ed are Travis_Ishikawa_singled
4,When did Mount St. Helen last have a significant eruption ?,when did mount on1 amanda last have a important eruption
0,"How does Cos Cob , CT get its name ?","how does dosent baked_beans_coleslaw, gl get its name"
7,Where is the massive North Korean nuclear complex located ?,where is the masive paralleling_Interstate korean nuclear_reactors complex located
7,What does pH stand for ?,what does Uh brutally_honest_warts for
1,What are two plants that clothes are made from ?,what are two Ropar_thermal that frocks are made from
7,What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?,what rocky mountain ridge resembles northwestern americas Alberta_clipper and northeasterly_direction flowing rivers
0,What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,what is the similiarities of whereat supreme Justice_Wowo justice thurgood seargent
0,How do you fix squeaky floors ?,how do you repairing_leaky yowl floors
7,What is BPH ?,what is metering_pumps
1,What household products are there for adult acne ?,what Clothes_washers product are there for Showbox_SoDo_TM acne
0,What was The Living Room War ?,what was the apartment ensuite_bathroom war
7,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,where on the internet can i pinpoint a Roy_Orbison_Crying lyrics database Differing to the Ferring_Pharmaceuticals_privately Songs virtualized_server
0,How does color affect a person psychologically ?,how does color interfere a met_Kunis_gushes Severe_anemia
7,What natural attractions draw the most visitors in the United States ?,what acidifies Diversions_Coming draw the most visitors in the bitterly_divided_factions noncoastal
7,What eastern state sprouted the first commercial nuclear power plant in the U.S. ?,what eastern Allen_Kukovich mushroomed the first commercial nuclear powere Tonawanda_Engine in the yous
7,What is Answers.com 's address ?,what is answerscoms totn@npr.org
1,What book is subtitled The Preservation of Favoured Races in the Struggle for Life ?,what book is Hirokazu_Kore_Eda the parks_greenways of favoured qualifyings in the uphill_battle for Mehdi_Shehu
3,What wrestling star became `` The Incredible Hulk '' ?,what Megaludis star became the breathtaking battlecruiser
1,What Hollywood dog died in the arms of Jean Harlow in 1932 ?,what hollywood Shitzu death in the Mchinji_Malawi of denim_trousers harlow in
4,What is the date of Boxing Day ?,what is the JILL_Issue of welterweight_champion lunch
3,What record company produced the 1978 movie The Wiz ?,what BERLIN_Haile_Gebrselassie Vittorio_Merloni produced the movie the geeky
0,What is limbo ?,what is unfinished
1,"What did 8 , CD NNS VBP TO VB NNP POS NN .","what did eight, dvd_burner nns vbp to dpa_dc nnp cas amet"
0,What are some interesting facts and information about dogsledding ?,what are some engrossing truths and visit_www.overlandstorage.com about dogsledding
3,Who leads the star ship Enterprise in Star Trek ?,who pushes the hubby_Ashton_Kutcher ship enterprise in star backpacking_trip
4,How many dots make up the symbol for `` because '' ?,how many punctate make up the insignia for because
1,What types of water pollution are there ?,what TechTeam_produces of Potable_water smokestack_emissions are there
7,What country is famous for Persian rugs ?,what country is venerable for serbia wicker_furniture
0,What did the only repealed amendment to the U.S. Constitution deal with ?,what did the only era_Glass_Steagall FAA_Reauthorization_Act to the ma_ma constitution renegotiating with
1,What two body parts grow all your life ?,what two Shylea_Myza_Thomas limbs_kidneys wither all your life
3,What was Thatcher 's first name ?,what was thatching first name
1,What does it take to become a lawyer ?,what does it take to become a counsel
4,How many colonies were involved in the American Revolution ?,how many Madras_Presidency were involved in the georgia proletarian_revolution
7,Where does the Santa Fe Trail begin and end ?,where does the santa ethe hikers_equestrians begin and DigitalOps_R
3,"What President lived at 219 North Delaware Street , Independence , Missouri ?","what president Latrina_Moore at two hundred and hundred_seventy Mount_Parnonas delaware downtown, indepedence, missouri"
4,How many small businesses are there in the United States ?,how many aperture_terminal businesses are there in the socialist_republics microdistilleries
4,What is the student population at the University of Massachusetts in Amherst ?,what is the graduate highland_forests at the IU_Bloomington_campus of mozilla in amherst
7,What city would you be in if you were feeding the pigeons in the Piazza San Marco ?,what member_Sharon_Fearey would you be in if you were cooks_rice_porridge the feral_felines in the Trastevere cho bastante
7,Which country is known as `` Big Bear '' ?,which country.â_€ is popularly_known as nice bear
3,Who created Dennis the Menace ?,who cre_ated dennis the nuisances
3,Who is Prince Naseem Hamed ?,who is princes naseem hamed
4,How many colors are there in a rainbow ?,how many contrasting_colors are there in a glimmering
1,"What product `` doubles your pleasure , doubles your fun '' ?","what verykool_® Jordan_Rux your pleasure, Jelena_Stanivuk your fun"
4,What is the probability that at least 2 out of 25 people will have the same birthday ?,what is the Empirical_evidence that at least two out of twenty five Wichitans will have the same Birthday_Bash
4,How long were Tyrannosaurus Rex 's teeth ?,how long were Protoceratops rexs overbites
7,What is Britain 's possession on the Chinese mainland ?,what is britains Charge_Uttering_false on the asians Tsang
0,How can you stop the itch from poison ivy ?,how can you stop the twinge from ricin_poison honeysuckle
0,What is a Certified Nurse Midwife ?,what is a lymphedema_therapist nurse pediatrician
4,How many stars are there in Big Dipper ?,how many Laurence_Fishburne_Angela_Bassett are there in crucial dustbin_lid
1,What 's the term for a limestone deposit rising from the floor of a cave ?,what is the term for a outwash unconformity_uranium escalating from the mat of a subterranean_cavern
7,What is the highest waterfall in the United States ?,what is the near_Karnak_temple cliff in the united multimember_districts
3,Who was Sherlock Holmes 's archenemy ?,who was obj holmess arch_nemesis_Lex_Luthor
7,What country was Erich Honecker the leader of ?,what disapora was erich honecker the prime_minister_Mahendra_Chaudhry of
4,How old is Britney Spears ?,how Keyshai_Fields is charlie_sheen spears
7,Where is McCarren Airport located ?,where is mccarren BWI Sited
1,What was Mel Gibson 's first movie ?,what was mí gibsons first movies
7,"In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?","in sinclair franklin pinpointed street, what was the name of the Haner_reluctance iraqi councilor_Lynn_Dollin"
4,When did Thatcher become prime minister ?,when did hogg become Night_Football minister
1,What animals did The Amazing Three masquerade as ?,what bassets did the neatest_thing three witches_ghosts as
7,What nation boarders Mozambique ?,what multiplatinum_rapper_starred campers mozambique
4,"On average , how long time does it take to type a screenplay ?","on percent, how Posthumous_releases time does it take to classic_dropback a David_Loucka"
4,What year was Janet Jackson 's first album released ?,what five was danielle jacksons first album hiker_Sarah_Shoud
4,How many characters makes up a word for typing test purposes ?,how many sketchily_drawn means up a word for typing extramarital_affairs_flunk SCOREBOARD_articles
7,In what U.S. state was the first woman governor elected ?,in what yous multimember_districts was the first vicitim governor vote
3,Who were the 1974 Oscar winners ?,who were the Worst_Supporting_Actor prizes
0,What does the term 3 mean to a newspaper editor ?,what does the term three meaning to a Quoting_unnamed_sources editorial_cartoonist
3,Which high schools are included in the South Florida Ice Hockey league ?,which high Public_Schools are included in the miles_southeast florida ice_melts hockey preseason
3,"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?","what Matt_Borlenghi and U.S. Af_ghanistan ii WWII_airman had a five, zero 5m_£_#.#m put on his Valeri_clapped_enthusiastically by hermann goering"
7,What two South American countries do n't border Brazil ?,what two south american countriesâ_€_™ do nt czar_Alan_Bersin jos
3,Which presidents of the USA were Masons ?,which César_Gaviria of the mcdonald were workmen
7,What is HTML ?,what is params
3,What company sells the most greeting cards ?,what company collects the most exchanged_handshakes teen_patti
3,What daughter of Henry VIII and Anne Boleyn became queen of England ?,what grandchildren of neville viii and alison boleyn became queen of berba
1,What animal occurs in Spielberg 's `` Jaws '' ?,what equines incurs in spielbergs jaws
1,What European race sees the winner of its mountain stage awarded a jersey with large red polka dots ?,what uefa race sees the winner of its mountain pts_Departures Metalogix_Software_delivers a jersey with inordinate orangey_red polka pushpins
7,What desert has been called The Garden of Allah ?,what desert_scrub has been describing the dahlias of allah
4,How many horses are there on a polo team ?,how many horseflesh are there on a Shandur_festival Bill_Kinneberg
4,What do Englishmen weigh themselves in ?,what do englishmen ##st_4lbs themselves in
4,How long does it take for your body to restore blood after you donate your blood ?,how far does it take for your body to infuse hemoglobin_hematocrit after you generously_donating your lymphatic_circulation
4,What percentage of the silver production is done by independent silversmiths ?,what ##per_cent of the Nastia_deserved 5mn_tonnes is done by independent glassworks
7,Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?,where did the sixth biannually worksession of ppl_r malaysia forest bioethicists take place
7,What was the only country in the Western Hemisphere to join the Russian-led boycott of the 1984 Summer Olympics ?,what was the only country in the western Bolivians to interested the johnson led postponing of the July crosby
4,How many colleges are in Wyoming ?,how many SUNY_campuses are in montana
0,For what reason did the Shea & Gould law firm close their L.A. office ?,for what caveat did the shea gould clergy_penitent_privilege firm close their était building_RXR_Plaza
0,"What was archy , and mehitabel ?","what was intertextuality, and mehitabel"
1,What do you get by adding Lactobacillus bulgaricus to milk ?,what do you get by siad lactobacillus Bifidobacterium_lactis to milk_powders
3,What occupation has the highest divorce rate ?,what Occupation_Forces has the purest divorce_citing_irreconcilable rate
1,What is the name given to a group of geese ?,what is the name warranting to a orgnization of mute_swans
0,What is a dangling participle ?,what is a tugging plural_pronoun
1,What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?,what is the f_****_t for severed Tempered_glass or sharp granite_boulders PCI_Express_PHY in cement on top of a bathtub_protruding
1,What is the most famous German word in the English language ?,what is the most BEATLES_COME_TO_iTUNES frei initialisms in the belgium language
0,What causes blue balls ?,what causes orangish Amy_Satterthwaite
3,What two presidents of the U.S. published books of poetry ?,what two presidents of the aneath Deutsches_Arzteblatt_International bookstore of poetry
7,What Japanese city was once called Edo ?,what raymond city was once particularly_galled nx
3,Who wrote The Secret Life of Walter Mitty ?,who paraphrased the secrecy life of o'brien mitty
0,"What is the history of Hot Wheels cars , and how are they produced ?","what is the dynasties of cold knobbies Ford_Fiestas, and how are they supplemented"
1,What is the only vegetable that starts with `` z '' ?,what is the only chilli that falters with fs
3,Who played Maria in the film West Side Story ?,who underachieved gonzales in the Bani_Etemad west side story
4,How tall is the replica of the Matterhorn at Disneyland ?,how pronounced_nuh is the figurines_depicting of the matterhorn at gwen
1,What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?,what is the name of the Postpartum_psychosis in which pakistan reinforcements beheaded over three raped_Abeer british protestors
0,What happened to Moon Maiden ?,what happened to Iapetus_Saturn Predominate_Stakes
1,What does an irate car owner call iron oxide ?,what does an irate Toyota_Corolla Cugino call steel oxide
1,What does El Nino mean in spanish ?,what does abu feliz equates in spanish
3,"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?","what irresistible earthy_crunchy of Kayford_Mountain_W.Va. worldbeat celebrated its fiveth anniversary in july,"
7,Where can I find detailed information about Manchukuo ?,where can i eke analysis Imperial_Sugar_visit_www.imperialsugar.com about manchukuo
1,What is the name of the Islamic counterpart to the Red Cross ?,what is the name of the Fundamentalist_Muslims counterpart_Francois_Fillon to the pepper_purée coolly_slot
7,Where do you find the answers for all these questions ?,where do you distinguish the kgb_Answers for all these misgivings
3,Who is the President of Ghana ?,who is the leader of shld
0,What was an `` Asiento '' ?,what was an  asiento
1,What kind of books does Fodor 's publish ?,what kinds of dog_eared_paperback does fodors publishable
1,What was the name of the famous battle between Texas and Mexico ?,what was the name of the quintessential fierce_firefights between colorado and kansas
3,What company 's trademark was His Master 's Voice ?,what iGS Firdapse_™ was his deceivers voice
1,What was the name of the peace agreement imposed on Germany after World War I ?,what was the name of the peacemaking agreement Impose on eastern_europe after world.â_€ Civil_War i
0,What is the meaning of Jesus ?,what is the blessedness of osu
4,How many acres in a mile ?,how many square_foot in a miles
0,What is the half-life of P-32 ?,what is the half delighted_Drochelman of Sebastien_Pourcel_FRA_Kawasaki intercuts_images two
1,What do I call the sons and daughters of my first cousins ?,what do i call the nieces_nephews_grandnieces and godchildren of my first distant_cousin
3,What baseball great plugged Mr. Coffee ?,what promoter_Bill_Veeck great plugged liam coffee
0,Where did the energy for the Big Bang come from ?,where did the nonfossil_fuel for the overmatches thud come from
0,What does the name Jenna mean ?,what does the name sandra geesh
0,What steps can be taken to prevent diabetes ?,what Actions can be provided to prevent insulin_resistance
0,What are perfect tenses ?,what are glorious plurals
0,What is the difference between khaki and chino ?,what is the blindest_bit between kurta_pajamas and sabe
3,What is Drew Barrymore 's middle name ?,what is garners barrymores ensnaring_millions name
1,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?","what childrens macabre_tales offers the field lace_em, cinderslut, and hold this ABC_Supernanny of boiled_wool for me"
7,What is one of the cities that the University of Minnesota is located in ?,what is one of the capitals that the undergrads of tulsa is greenstone_belt_composed in
1,What took first prize in Omni magazine 's contest to find the `` ultimate unanswerable question '' ?,what surrendered first prize in logo_inserter FISHupdate_Magazine MyStudio.net to find the ultimate philosophical question
1,What daily newspaper will `` help you see clearer across the USA '' ?,what daily newspaper_La_Vanguardia will loyal_El_Katiri you see murkier across the ww
0,What is the origin of the expression `` four-letter word '' ?,what is the ancient_Macedonians of the kuumba four letter Tele_prompter
4,How many years make up a lustrum ?,how many nineteen_forty make up a lustrum
1,What fossilizes to form coprolite ?,what fossilizes to Voluntary_Withholding_Request fossilized
0,What is the filmmakers collabrative ?,what is the InDigEnt collabrative
3,What bottled-up TV character was born in Baghdad ?,what naturally_carbonated up stories_visit_bluewolf.com character was maternal_grandmother in baghdad
7,What two countries ' coastlines border the Bay of Biscay ?,what two MSC.Software_employs coastlines San_Ysidro_crossing the Barnegat_Inlet of biscay
1,What currency is used in Australia ?,what currencies is used in europe
7,"Where are the apartments in Saint John , New Brunswick ?","where are the apartments in saint cohen, Cinemark_NextGen farm.com"
3,What are the top ten most common girl names in the US ?,what are the top ten most Finder_Units stepdaughter surnames in the us
0,What is a dental root canal ?,what is a immunizations_physicals softwood_cuttings canal
1,What is a fear of cold ?,what is a deathly_afraid of Bone_numbing
3,Which NBA players had jersey number 0 ?,which cavs players had jersey orangutan_nests minimal
4,How many points make up a perfect fivepin bowling score ?,how many assists make up a perfect fivepin fast_bowlers scoresheet
3,What U.S. President had brothers-in-law in the Confederate army ?,what armstrong president had elder_brother in law in the slaver armed_forces
4,When was the bar-code invented ?,when was the cafe named_Vigilant_Resolve invented
4,How many years of schooling after highschool does it take to become a neurosurgeon ?,how many forty of ESOL_classes after highschools does it take to become a pediatrician
7,What African country was founded by freed American slaves in 1847 ?,what chinese country was Pam_Omidyar by Deposed_Mauritanian_president american slaves in
1,What stringed weapon fires a bolt ?,what vibraphones weapon spotfires a bolt
7,What country is located at 13 degrees North latitude and 10 degrees East longitude ?,what staunchly_Roman_Catholic is adjacent at thirteen degrees north detain_enemy_combatants and ten Directions_Preheat_oven see_CONV_DIARY longitude
0,What caused the Lynmouth floods ?,what consequent the lynmouth flash_floods_landslides
3,Who wrote ` The Pines of Rome ' ?,who asks_rhetorically the pines of forza
0,How does marl form and what mineral does it contain ?,how does chippings DRFC_Rovers and what mineral does it estimates_pro_formas
4,When was the Parthenon built ?,when was the parthenon mothballed
